heatmap_Accuracy,heatmap_Sensitivity,heatmap_Specificity,cluster_Accuracy,cluster_Sensitivity,cluster_Specificity,cluster_overlay_Accuracy,cluster_overlay_Sensitivity,cluster_overlay_Specificity,contour_Accuracy,contour_Sensitivity,contour_Specificity
0.5,1.0,0.0,1.0,1.0,1.0,0.625,0.75,0.5,0.875,0.75,1.0
0.625,1.0,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.875,1.0,0.75
0.5,1.0,0.0,1.0,1.0,1.0,0.625,1.0,0.25,0.875,1.0,0.75
0.625,0.75,0.5,1.0,1.0,1.0,0.625,1.0,0.25,0.875,1.0,0.75
0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.0,1.0
0.75,1.0,0.5,0.875,0.75,1.0,0.375,0.5,0.25,0.875,0.75,1.0
0.75,1.0,0.5,0.875,1.0,0.75,0.75,0.75,0.75,0.625,0.5,0.75
0.375,0.75,0.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.75,1.0
0.5,0.5,0.5,0.875,0.75,1.0,0.5,1.0,0.0,0.75,1.0,0.5
0.625,0.5,0.75,0.75,1.0,0.5,0.375,0.75,0.0,0.75,1.0,0.5
0.75,1.0,0.5,0.75,0.5,1.0,0.625,0.75,0.5,1.0,1.0,1.0
0.5,0.75,0.25,0.75,0.5,1.0,0.625,0.5,0.75,0.875,0.75,1.0
0.5,0.75,0.25,0.875,1.0,0.75,0.625,0.5,0.75,0.875,0.75,1.0
0.625,1.0,0.25,1.0,1.0,1.0,0.75,0.75,0.75,0.875,0.75,1.0
0.875,0.75,1.0,0.875,0.75,1.0,0.75,0.5,1.0,0.75,0.5,1.0
0.625,0.5,0.75,0.75,0.5,1.0,0.875,0.75,1.0,0.625,0.25,1.0
0.625,0.75,0.5,0.875,0.75,1.0,1.0,1.0,1.0,0.875,0.75,1.0
0.5,0.75,0.25,0.875,0.75,1.0,0.5,0.75,0.25,0.75,0.5,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.875,1.0,0.75,1.0,1.0,1.0
0.875,1.0,0.75,0.75,0.75,0.75,0.625,0.75,0.5,0.625,0.5,0.75
0.625,0.75,0.5,0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.625,0.75,0.5,0.875,0.75,1.0
0.375,0.75,0.0,1.0,1.0,1.0,0.5,0.75,0.25,0.875,1.0,0.75
0.625,1.0,0.25,1.0,1.0,1.0,0.625,1.0,0.25,1.0,1.0,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.75,0.25,0.625,0.5,0.75
0.5,0.5,0.5,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0
0.625,0.5,0.75,0.875,0.75,1.0,0.625,1.0,0.25,0.875,0.75,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,1.0
0.625,1.0,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.5,0.75,0.25,0.625,0.5,0.75,0.625,1.0,0.25,0.5,0.25,0.75
0.5,0.5,0.5,1.0,1.0,1.0,0.375,0.25,0.5,0.875,0.75,1.0
0.625,0.75,0.5,0.875,1.0,0.75,0.625,0.75,0.5,0.875,0.75,1.0
0.375,0.5,0.25,0.5,0.5,0.5,0.625,1.0,0.25,0.5,0.5,0.5
0.5,0.75,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.75,0.5,1.0
0.5,0.25,0.75,0.75,0.5,1.0,1.0,1.0,1.0,0.875,0.75,1.0
0.5,0.75,0.25,0.875,0.75,1.0,0.75,0.75,0.75,0.875,0.75,1.0
0.5,0.75,0.25,0.625,0.75,0.5,0.625,1.0,0.25,0.875,1.0,0.75
0.75,0.75,0.75,0.75,0.5,1.0,0.625,1.0,0.25,0.875,0.75,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.625,0.5,0.75,1.0,1.0,1.0
0.625,0.5,0.75,0.5,0.25,0.75,0.625,1.0,0.25,0.625,0.25,1.0
0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75,0.25,0.875,1.0,0.75
0.375,0.5,0.25,1.0,1.0,1.0,0.625,1.0,0.25,0.75,0.75,0.75
0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.75,0.5,0.25,0.75
0.625,1.0,0.25,0.875,1.0,0.75,0.625,0.75,0.5,1.0,1.0,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.375,0.25,0.5,0.875,0.75,1.0
0.625,0.25,1.0,0.75,0.5,1.0,0.625,0.25,1.0,0.625,0.25,1.0
0.5,0.0,1.0,0.625,0.25,1.0,0.5,0.0,1.0,0.625,0.25,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0
0.5,0.25,0.75,0.75,0.75,0.75,0.5,1.0,0.0,0.75,0.75,0.75
0.625,1.0,0.25,1.0,1.0,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.375,0.75,0.0,0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0
0.75,1.0,0.5,0.625,0.5,0.75,0.5,0.75,0.25,0.875,0.75,1.0
0.625,0.5,0.75,0.625,0.25,1.0,0.5,0.0,1.0,0.75,0.5,1.0
0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.875,0.75,1.0
0.625,0.75,0.5,1.0,1.0,1.0,0.625,1.0,0.25,0.875,1.0,0.75
0.75,0.75,0.75,0.75,0.5,1.0,0.875,1.0,0.75,0.5,0.0,1.0
0.5,0.25,0.75,0.625,0.5,0.75,0.375,0.5,0.25,0.625,0.25,1.0
0.5,0.0,1.0,0.5,0.0,1.0,0.625,0.5,0.75,0.5,0.0,1.0
0.25,0.5,0.0,1.0,1.0,1.0,0.625,0.75,0.5,0.625,0.5,0.75
0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0
0.625,0.75,0.5,0.75,1.0,0.5,0.75,0.75,0.75,0.875,0.75,1.0
0.375,0.75,0.0,0.625,0.75,0.5,0.5,0.75,0.25,0.875,0.75,1.0
0.875,0.75,1.0,0.75,0.5,1.0,0.625,0.25,1.0,0.75,0.5,1.0
0.375,0.75,0.0,1.0,1.0,1.0,0.625,0.75,0.5,0.875,0.75,1.0
0.75,0.75,0.75,0.875,0.75,1.0,0.625,0.5,0.75,0.875,0.75,1.0
0.75,1.0,0.5,0.875,0.75,1.0,0.5,0.75,0.25,0.875,1.0,0.75
0.625,1.0,0.25,0.75,1.0,0.5,0.75,0.75,0.75,0.75,0.75,0.75
0.75,1.0,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.875,0.75,1.0
0.625,0.25,1.0,0.625,0.5,0.75,0.625,0.5,0.75,0.75,0.5,1.0
0.5,0.0,1.0,0.75,0.5,1.0,0.375,0.0,0.75,0.5,0.25,0.75
0.375,0.75,0.0,1.0,1.0,1.0,0.625,0.75,0.5,1.0,1.0,1.0
0.375,0.0,0.75,0.625,0.25,1.0,0.625,0.75,0.5,0.625,0.5,0.75
0.625,0.75,0.5,0.625,0.5,0.75,0.625,0.75,0.5,0.875,0.75,1.0
0.5,0.75,0.25,1.0,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0
0.625,1.0,0.25,0.75,0.5,1.0,0.625,1.0,0.25,0.875,0.75,1.0
0.625,1.0,0.25,0.625,1.0,0.25,0.75,0.75,0.75,0.875,0.75,1.0
0.75,0.5,1.0,0.625,0.25,1.0,0.625,0.5,0.75,0.625,0.5,0.75
0.5,0.0,1.0,0.625,0.75,0.5,0.875,1.0,0.75,0.75,0.75,0.75
0.625,1.0,0.25,0.625,0.75,0.5,0.625,1.0,0.25,1.0,1.0,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.75,1.0,1.0,1.0
0.5,0.5,0.5,0.625,0.5,0.75,0.75,0.5,1.0,0.625,0.25,1.0
0.5,1.0,0.0,1.0,1.0,1.0,0.625,1.0,0.25,1.0,1.0,1.0
0.5,1.0,0.0,0.875,1.0,0.75,0.375,0.5,0.25,0.875,1.0,0.75
0.5,0.75,0.25,0.875,0.75,1.0,0.625,0.25,1.0,0.75,0.5,1.0
0.5928571428571429,0.719047619047619,0.4666666666666667,0.8380952380952381,0.7833333333333333,0.8928571428571429,0.6392857142857142,0.7214285714285714,0.5571428571428572,0.8107142857142857,0.7023809523809523,0.919047619047619
0.5928571428571429,0.719047619047619,0.4666666666666667,0.8380952380952381,0.7833333333333333,0.8928571428571428,0.6392857142857143,0.7214285714285714,0.5571428571428572,0.8107142857142857,0.7023809523809523,0.919047619047619
0.5928571428571429,0.7190476190476189,0.4666666666666667,0.838095238095238,0.7833333333333333,0.8928571428571428,0.6392857142857143,0.7214285714285715,0.5571428571428572,0.8107142857142857,0.7023809523809523,0.919047619047619
0.5928571428571429,0.7190476190476189,0.4666666666666667,0.838095238095238,0.7833333333333333,0.8928571428571428,0.6392857142857145,0.7214285714285715,0.5571428571428572,0.8107142857142856,0.7023809523809523,0.919047619047619
0.5928571428571429,0.7190476190476189,0.4666666666666667,0.838095238095238,0.7833333333333332,0.8928571428571427,0.6392857142857145,0.7214285714285715,0.5571428571428572,0.8107142857142856,0.7023809523809522,0.919047619047619
0.5928571428571427,0.7190476190476188,0.4666666666666667,0.838095238095238,0.7833333333333332,0.8928571428571427,0.6392857142857146,0.7214285714285716,0.5571428571428572,0.8107142857142856,0.7023809523809522,0.919047619047619
0.5928571428571427,0.7190476190476188,0.4666666666666668,0.8380952380952379,0.7833333333333332,0.8928571428571427,0.6392857142857146,0.7214285714285716,0.5571428571428572,0.8107142857142856,0.7023809523809522,0.919047619047619
0.5928571428571427,0.7190476190476188,0.4666666666666668,0.8380952380952379,0.7833333333333332,0.8928571428571426,0.6392857142857146,0.7214285714285716,0.5571428571428572,0.8107142857142856,0.7023809523809522,0.919047619047619
0.5928571428571427,0.7190476190476187,0.4666666666666668,0.8380952380952379,0.7833333333333332,0.8928571428571426,0.6392857142857147,0.7214285714285716,0.5571428571428572,0.8107142857142855,0.7023809523809521,0.9190476190476188
0.5928571428571427,0.7190476190476187,0.4666666666666668,0.8380952380952379,0.7833333333333332,0.8928571428571426,0.6392857142857147,0.7214285714285718,0.5571428571428572,0.8107142857142855,0.7023809523809521,0.9190476190476188
0.5928571428571427,0.7190476190476187,0.4666666666666668,0.8380952380952378,0.7833333333333332,0.8928571428571425,0.6392857142857148,0.7214285714285718,0.5571428571428572,0.8107142857142855,0.7023809523809521,0.9190476190476188
0.5928571428571427,0.7190476190476186,0.46666666666666684,0.8380952380952378,0.7833333333333331,0.8928571428571425,0.6392857142857148,0.7214285714285718,0.5571428571428572,0.8107142857142855,0.7023809523809521,0.9190476190476189
